EasyNumber;CompagnyName;CompagnyName2;Pays
00005373433554;HPH Profilbeklædning v/Palle Hindborg;HPH+Profilbeklædning+v/Palle+Hindborg;DNK
00000402909945;MARIA ADELAIDE GONÇALVES CARVALHO DE PAULA JÚLIO;MARIA+ADELAIDE+GONÇALVES+CARVALHO+DE+PAULA+JÚLIO;PRT
00000414779338;INCOTIN - INDÚSTRIA E COMÉRCIO DE TINTAS E VERNIZES LDA;INCOTIN+-+INDÚSTRIA+E+COMÉRCIO+DE+TINTAS+E+VERNIZES+LDA;PRT
00001055748978;LOGISTIQUE DE TRANSPORT EUROPEEN;LOGISTIQUE+DE+TRANSPORT+EUROPEEN;FRA
00000102233359;SOCIETE D EXPLOITATION DE L IMPRIMERIE SCHEUER JEAN LOUIS;SOCIETE+D+EXPLOITATION+DE+L+IMPRIMERIE+SCHEUER+JEAN+LOUIS;FRA
00000291225065;Wimolrat (1994) Company Limited;Wimolrat+(1994)+Company+Limited;THA
00001334349980;V.O.F. DETERINK WONINGINRICHTING EN ZONWERINGSBEDRIJF;V.O.F.+DETERINK+WONINGINRICHTING+EN+ZONWERINGSBEDRIJF;NLD
00000589860888;GENERATION INNOVANTE D'ENTREPRISE;GENERATION+INNOVANTE+D'ENTREPRISE;FRA
00002106658779;Lebensräume Bau- und Verwaltungsgesellschaft mbH;Lebensräume+Bau-+und+Verwaltungsgesellschaft+mbH;AUT
00002108388047;BIOMASSEKRAFTWERK HEILIGENKREUZ ERRICHTUNGS GMBH;BIOMASSEKRAFTWERK+HEILIGENKREUZ+ERRICHTUNGS+GMBH;AUT
00000582966346;STE PEINTURE PYRENEENNE BURGUETTE;STE+PEINTURE+PYRENEENNE+BURGUETTE;FRA
00000452786852;METODOS CONSTRUCTIVOS DE ARQUITECTURA INDUSTRIAL SL;METODOS+CONSTRUCTIVOS+DE+ARQUITECTURA+INDUSTRIAL+SL;ESP
00000296944082;IMPERIAL FABRICATING COMPANY OF TENNESSE INC;IMPERIAL+FABRICATING+COMPANY+OF+TENNESSE+INC;USA
00000343821038;BRASILIA DI ROBERTO DEL PIANO S.A.S .;BRASILIA+DI+ROBERTO+DEL+PIANO+S.A.S+.;ITA
00000422318946;wtronic electronic production gmbh;wtronic+electronic+production+gmbh;AUT
00000324761669;MONEIMPEX - MOHCEN NEGOCE IMPEX SARL;MONEIMPEX+-+MOHCEN+NEGOCE+IMPEX+SARL;DZA
00004456260430;JKE DESIGN V/JOERGEN EMIL JENSEN;JKE+DESIGN+V/JOERGEN+EMIL+JENSEN;DNK
00000052555108;ASSISTANCE ET INSTALLATION DES TECHNIQUES ENERGETIQUES ET CLIMATIQUES;ASSISTANCE+ET+INSTALLATION+DES+TECHNIQUES+ENERGETIQUES+ET+CLIMATIQUES;FRA
00002359141864;CELERANT CONSULTING INVESTMENTS LIMITED;CELERANT+CONSULTING+INVESTMENTS+LIMITED;GBR
00000495193755;ELETTROMARCHE DI NICOLINI LORENZO;ELETTROMARCHE+DI+NICOLINI+LORENZO;ITA
00002359139085;CELERANT CONSULTING ACQUISITIONS LIMITED;CELERANT+CONSULTING+ACQUISITIONS+LIMITED;GBR
00002359125549;COLORMATRIX UK HOLDINGS LIMITED;COLORMATRIX+UK+HOLDINGS+LIMITED;GBR
00001822828709;SARL EXPLOITATION DES ETABLISSEMENTS BOSCHI;SARL+EXPLOITATION+DES+ETABLISSEMENTS+BOSCHI;FRA
00001055779183;FLEURS 3000 - SOCIETE EN LIQUIDATION;FLEURS+3000+-+SOCIETE+EN+LIQUIDATION;FRA
00000206860549;Evonik Para-Chemie GmbH in Liqu.;Evonik+Para-Chemie+GmbH+in+Liqu.;AUT
00000298608646;INSULATION SYSTEMS OF VIRGINIA INC;INSULATION+SYSTEMS+OF+VIRGINIA+INC;USA
00000243918672;4.FUTURO IM- EN EXPORT GROENTE EN FRUIT B.V.;4.FUTURO+IM-+EN+EXPORT+GROENTE+EN+FRUIT+B.V.;NLD
00000344120059;CONCISE OFFICE AUTOMATION PTY LTD;CONCISE+OFFICE+AUTOMATION+PTY+LTD;AUS
00000291242845;ROTOSIAM CO LTD TEL 66 2 252 42 98 FAX 66 2 252 42 96;ROTOSIAM+CO+LTD+TEL+66+2+252+42+98+FAX+66+2+252+42+96;THA
00000206850952;Mobil-Wandbau Gesellschaft m.b.H.;Mobil-Wandbau+Gesellschaft+m.b.H.;AUT
00002358658581;HOMEFIELD PREPARATORY SCHOOL TRUST LIMITED;HOMEFIELD+PREPARATORY+SCHOOL+TRUST+LIMITED;GBR
00000291220772;KHON KAEN THAIRUANGFA COMPANY LIMITED;KHON+KAEN+THAIRUANGFA+COMPANY+LIMITED;THA
00001055762970;NORD PICARDIE SERVICES ENVIRONNEMENT NPSE;NORD+PICARDIE+SERVICES+ENVIRONNEMENT+NPSE;FRA
00000495174864;CARIGLIALTO INGROSSO DI LANZINO ROBERTO;CARIGLIALTO+INGROSSO+DI+LANZINO+ROBERTO;ITA
00000495176632;EUROELETTRO 2000 DI ALESSANDRO BATTISTA;EUROELETTRO+2000+DI+ALESSANDRO+BATTISTA;ITA
00000462764941;DISTRIBUIDORA SIMO PUBLICACIONES SOCIEDAD LIMITADA;DISTRIBUIDORA+SIMO+PUBLICACIONES+SOCIEDAD+LIMITADA;ESP
00000493764871;BARBER - COLMAN HOLDINGS CORP ENERGY MANAGEMENT DIV;BARBER+-+COLMAN+HOLDINGS+CORP+ENERGY+MANAGEMENT+DIV;USA
00000118246760;ASS POUR LA MODERNISATION MARAICHERE;ASS+POUR+LA+MODERNISATION+MARAICHERE;FRA
00000467465724;HOSTELERA VIRGEN DE LAS VIÑAS SOCIEDAD LIMITADA;HOSTELERA+VIRGEN+DE+LAS+VIÑAS+SOCIEDAD+LIMITADA;ESP
